ترم ارائه درس,دانشكده درس,دانشكده درس,گروه آموزشي درس,گروه آموزشي درس,شماره و گروه درس,نام درس,كل,ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنس,نام استاد,زمان و مكان ارائه,زمان و مكان امتحان,محدوديت اخذ,مخصوص ورودي,دروس اجبار/متضاد,نحوه ارائه درس,دوره درس,امكان حذف اضطراري,امكان اخذ توسط مهمان,توضيحات
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211033_02,آزمايشگاه الكترونيك1,1,1,12,12,0,مختلط,حبيبي دهكا ژاله,درس(ع): يك شنبه   11:00-13:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الكترونيك 1,تاريخ: 1402/03/16  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211033_04,آزمايشگاه الكترونيك1,1,1,13,13,0,مختلط,حبيبي دهكا ژاله,درس(ع): دوشنبه    07:00-09:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الكترونيك 1,تاريخ: 1402/03/16  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211034_01,الكترونيك 2,3,0,51,51,0,مختلط,آيت اللهي احمد,درس(ت): شنبه      10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212، درس(ت): دوشنبه    10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212,تاريخ: 1402/03/24  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211035_01,آزمايشگاه الكترونيك 2,1,1,12,11,0,مختلط,حبيبي دهكا ژاله,درس(ع): شنبه      11:00-13:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الترونيك 2 و 3,تاريخ: 1402/03/16  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211035_02,آزمايشگاه الكترونيك 2,1,1,12,12,0,مختلط,حبيبي دهكا ژاله,درس(ع): شنبه      13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الترونيك 2 و 3,تاريخ: 1402/03/16  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211035_03,آزمايشگاه الكترونيك 2,1,1,12,11,0,مختلط,حبيبي دهكا ژاله,درس(ع): دوشنبه    11:00-13:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الترونيك 2 و 3,تاريخ: 1402/03/16  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211035_04,آزمايشگاه الكترونيك 2,1,1,12,6,0,مختلط,حبيبي دهكا ژاله,درس(ع): سه شنبه   11:00-13:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الترونيك 2 و 3,تاريخ: 1402/03/16  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211036_01,سيستمهاي كنترل خطي,3,0,38,38,0,مختلط,گنجه فر سهيل,درس(ت): يك شنبه   10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 203، درس(ت): سه شنبه   10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 203,تاريخ: 1402/03/29  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211036_02,سيستمهاي كنترل خطي,3,0,37,38,0,مختلط,عباداللهي سعيد,درس(ت): يك شنبه   10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 201، درس(ت): سه شنبه   10:30-12:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 201,تاريخ: 1402/03/29  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_01,آزمايشگاه سيستمهاي كنترل خطي,1,1,11,9,0,مختلط,مختاري دزكي سينا,درس(ع): شنبه      07:00-09:00,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
